author_rank,author_name,author_key,inspire_author_recid,author_type,paper_count,frontier_count,frontiers,first_year,last_year,citable_paper_count,total_citations_on_coauthored_papers,mean_citations_on_coauthored_papers,max_citations_on_coauthored_papers
1201,"Williams, Z.",INSPIRE:1590965,1590965,individual,3,5,CF | IF | NF | RPF | UF,2022,2022,3,190,63.333333333333336,83
1202,"Augier, C.",INSPIRE:1017889,1017889,individual,3,4,IF | NF | RPF | UF,2022,2022,3,189,63.0,119
1203,"Billard, J.",INSPIRE:1071074,1071074,individual,3,4,IF | NF | RPF | UF,2022,2022,3,189,63.0,119
1204,"Gascon, J.",INSPIRE:1008812,1008812,individual,3,4,IF | NF | RPF | UF,2022,2022,3,189,63.0,119
1205,"Harris, Robert M.",INSPIRE:1006639,1006639,individual,3,6,AF | EF | IF | NF | RPF | TF,2022,2022,3,189,63.0,166
1206,"Juillard, A.",INSPIRE:1967009,1967009,individual,3,4,IF | NF | RPF | UF,2022,2022,3,189,63.0,119
1207,"Mayer, D.W.",INSPIRE:1885195,1885195,individual,3,4,IF | NF | RPF | UF,2022,2022,3,189,63.0,119
1208,"Olivieri, E.",INSPIRE:1040087,1040087,individual,3,4,IF | NF | RPF | UF,2022,2022,3,189,63.0,119
1209,"Poda, D.V.",INSPIRE:1269956,1269956,individual,3,4,IF | NF | RPF | UF,2022,2022,3,189,63.0,119
1210,"Crow, B.",INSPIRE:2051366,2051366,individual,3,5,AF | CEF | IF | NF | UF,2022,2022,3,188,62.666666666666664,153
1211,"Gianelle, Alessio",INSPIRE:1262268,1262268,individual,3,3,CompF | EF | IF,2022,2022,3,186,62.0,87
1212,"Alvarez, Marcelo A.",INSPIRE:1032218,1032218,individual,3,4,CF | CompF | IF | TF,2022,2022,3,185,61.666666666666664,172
1213,"Bird, Simeon",INSPIRE:1063786,1063786,individual,3,1,CF,2022,2022,3,185,61.666666666666664,85
1214,"Erickcek, Adrienne L.",INSPIRE:1025649,1025649,individual,3,2,CF | TF,2022,2022,3,185,61.666666666666664,89
1215,"Soni, Amarjit",INSPIRE:988068,988068,individual,3,3,CompF | RPF | TF,2022,2022,3,185,61.666666666666664,136
1216,"Simone, James N.",INSPIRE:988611,988611,individual,3,6,CF | CompF | EF | NF | RPF | TF,2022,2022,3,183,61.0,101
1217,"Classen, T.",INSPIRE:1878163,1878163,individual,3,1,NF,2022,2022,3,182,60.666666666666664,153
1218,"Fahrendholz, U.",INSPIRE:2957114,2957114,individual,3,5,AF | CEF | IF | NF | UF,2022,2022,3,182,60.666666666666664,153
1219,"Foust, B.T.",INSPIRE:1878033,1878033,individual,3,1,NF,2022,2022,3,182,60.666666666666664,153
1220,"Hansell, A.B.",INSPIRE:1878036,1878036,individual,3,1,NF,2022,2022,3,182,60.666666666666664,153
1221,"Roca, C.",INSPIRE:1731425,1731425,individual,3,1,NF,2022,2022,3,182,60.666666666666664,153
1222,"Smiley, M.",INSPIRE:1863260,1863260,individual,3,5,AF | CEF | IF | NF | UF,2022,2022,3,182,60.666666666666664,153
1223,"Venegas-Vargas, D.",INSPIRE:2905319,2905319,individual,3,1,NF,2022,2022,3,182,60.666666666666664,153
1224,"Autiero, Dario",INSPIRE:1017862,1017862,individual,3,7,CF | EF | IF | NF | RPF | TF | UF,2022,2022,3,181,60.333333333333336,82
1225,"Cui, Y.",INSPIRE:1065489,1065489,individual,3,4,AF | EF | IF | NF,2022,2022,3,181,60.333333333333336,114
1226,"Grzelak, Katarzyna",INSPIRE:1007389,1007389,individual,3,7,CF | EF | IF | NF | RPF | TF | UF,2022,2022,3,181,60.333333333333336,82
1227,"Hewes, V.",INSPIRE:1408419,1408419,individual,3,7,CF | EF | IF | NF | RPF | TF | UF,2022,2022,3,181,60.333333333333336,82
1228,"Kose, Umut",INSPIRE:1056528,1056528,individual,3,7,CF | EF | IF | NF | RPF | TF | UF,2022,2022,3,181,60.333333333333336,82
1229,"Martínez-Miravé, Pablo",INSPIRE:1718072,1718072,individual,3,5,CF | IF | NF | RPF | TF,2022,2022,3,180,60.0,82
