group,paper_count,share_of_catalog,fractional_paper_count,citable_paper_count,citation_coverage,total_citations,mean_citations,median_citations,mean_citations_per_year,top_cited_title,top_cited_arxiv,top_cited_count
NF: Neutrinos Beyond the Standard Model,17,0.031423290203327174,9.125,17,1.0,1491,87.70588235294117,55.0,19.872563351779768,The Present and Future Status of Heavy Neutral Leptons,2203.08039,343
CompF: Machine Learning,16,0.029574861367837338,10.866666666666667,16,1.0,536,33.5,17.0,6.9019975287023545,The LHC Olympics 2020: A Community Challenge for Anomaly Detection in High Energy Physics,2101.08320,243
RPF: General - centered on this frontier,16,0.029574861367837338,6.876190476190476,16,1.0,1176,73.5,20.5,16.50444374288677,The Forward Physics Facility at the High-Luminosity LHC,2203.05090,422
CF: General - cross-listed:,15,0.027726432532347505,3.1095238095238096,15,1.0,360,24.0,9.0,5.534339740100017,Event Generators for High-Energy Physics Experiments,2203.11110,201
TF: General - cross-listed,15,0.027726432532347505,3.451190476190476,15,1.0,1853,123.53333333333333,61.0,27.425160631637986,The Forward Physics Facility at the High-Luminosity LHC,2203.05090,422
AF: Accelerator Technology - RF,14,0.025878003696857672,13.0,14,1.0,123,8.785714285714286,8.0,2.0055105518698753,Next-Generation Superconducting RF Technology based on Advanced Thin Film Technologies and Innovative Materials for Accelerator Enhanced Performance and Energy Reach,2204.02536,20
AF: Accelerators for Electroweak and Higgs,14,0.025878003696857672,6.158333333333333,14,1.0,780,55.714285714285715,23.5,12.288240148306881,The International Linear Collider,2203.07622,293
EF: Beyond the Standard Model - Dark Matter at Colliders,14,0.025878003696857672,9.25,14,1.0,194,13.857142857142858,14.0,3.1039533753614723,LHCb Future Dark-Sector Sensitivity Projections for Snowmass 2021,2203.07048,29
EF: Beyond the Standard Model - Model Specific Explorations,14,0.025878003696857672,9.833333333333334,14,1.0,319,22.785714285714285,8.5,5.1870696031617705,Naturalness,2205.05708,118
EF: Electroweak Precision Physics and Constraining New Physics,14,0.025878003696857672,9.166666666666666,14,1.0,744,53.142857142857146,11.0,11.209489157233941,Vector Boson Fusion at Multi-TeV Muon Colliders,2005.10289,200
IF: Quantum Sensors,13,0.024029574861367836,4.45,13,1.0,995,76.53846153846153,41.0,17.468621601525363,Axion Dark Matter,2203.14923,346
AF: Accelerators for Neutrinos,12,0.022181146025878003,5.9,11,0.9166666666666666,110,10.0,10.0,2.2058209238026314,Performance of the LHC Injector Chain after the Upgrade and Potential Development,2203.09202,20
IF: Calorimetry,12,0.022181146025878003,8.666666666666666,12,1.0,51,4.25,2.0,0.8302181143188662,Dual-Readout Calorimetry for Future Experiments Probing Fundamental Physics,2203.04312,17
NF: General - cross-listed,12,0.022181146025878003,2.192857142857143,12,1.0,466,38.833333333333336,8.5,8.5284933936353,Event Generators for High-Energy Physics Experiments,2203.11110,201
RPF: Dark Sector Studies at High Intensities,12,0.022181146025878003,5.958333333333333,12,1.0,649,54.083333333333336,30.5,12.37093460108208,The International Linear Collider,2203.07622,293
CF: Dark Matter: Cosmic Probes,11,0.02033271719038817,9.333333333333334,11,1.0,482,43.81818181818182,33.0,9.812248048639454,Dark Matter In Extreme Astrophysical Environments,2203.07984,106
EF: General - cross-listed,11,0.02033271719038817,3.1,11,1.0,116,10.545454545454545,4.0,2.4944596995271158,Lattice QCD and Particle Physics,2207.07641,53
